Study ID,Title,Country,City,Indicator,Tools,nature_type,nature_quantity,exposure_type
vandenBerg 2019,"Do Physical Activity, Social Cohesion, and Loneliness Mediate the Association Between Time Spent Visiting Green Space and Mental Health?","Spain, Lithuania, the Netherlands, UK","Barcelona, Stoke-on-Trent, Kaunas, Doetinchem",Mental wellbeing in general*; Other: Vitality,SF-36 (Short From Health Survey 36-item),Greenspace - General* (not specified),NA (or not specified),L4 - duration in nature
Cohen-Cline 2015,"Access to green space, physical activity and mental health: a twin study",United States,m,Anxiety; Depression; Stress,PHQ-2; PSS; BSI,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Mennis 2018,Urban greenspace is associated with reduced psychological stress among adolescents: A Geographic Ecological Momentary Assessment (GEMA) analysis of activity space,United States,Richmond,Stress,EMA,NA,NA,NA
Mears 2020,Population-level linkages between urban greenspace and health inequality: The case for using multiple indicators of neighbourhood greenspace,UK,Sheffield,Mental disorder; Depression,Diagnosis by professionals,NA,NA,NA
Li 2019,Subtypes of park use and self-reported psychological benefits among older adults: A multilevel latent class analysis approach,China,Shanghai,Affect; Anxiety; Depression,VAS,NA,NA,NA
MRCCFAS 2015,"Older people, the natural environment and common mental disorders: cross-sectional results from the Cognitive Function and Ageing Study",UK,m,Anxiety; Depression,AGECAT,NA,NA,NA
McEwan 2019,A Smartphone App for Improving Mental Health through Connecting with Urban Nature,UK,Sheffield,Mental wellbeing in general*; Affect,ReQoL; TPAS,Greenspace - General* (not specified),NA,NA
Zhu 2021,Quantity or quality? Exploring the association between public open space and mental health in urban China,China,Zhuhai,Mental wellbeing in general*,WEMWBS (Warwick-Edinburgh Mental Wellbeing Scale),Greenspace - General* (not specified),Other: Area of greenspace; accessibility of greenspace,Other: L2 - objective accessibility; L1 - neighborhood/residential exposure
Kwok 2021,"Effects of the School-Based Integrated Health Promotion Program With Hydroponic Planting on Green Space Use and Satisfaction, Dietary Habits, and Mental Health in Early Adolescent Students: A Feasibility Quasi-Experiment",China,Hong Kong,Mental wellbeing in general*; Quality of life,SF-12 (Short From Health Survey 12-item),Greenspace - Garden,NA (or not specified),L5 - gardening (yes/no)
Song 2019,Association between Urban Greenness and Depressive Symptoms: Evaluation of Greenness Using Various Indicators,South Korea,Seoul,Depression,CES-D20 (Center for Epidemiologic Studies Depression Scale - 20),NA,NA,NA
Korn 2018,"Physical and Mental Health Impacts of Household Gardens in an Urban Slum in Lima, Peru",Peru,Lima,"Quality of life; Stress; Other: life events,",WHOQOL-BREF; PSS; LTE-Q,NA,NA,NA
Herman 2021,Emotional Well-Being in Urban Wilderness: Assessing States of Calmness and Alertness in Informal Green Spaces (IGSs) with Muse-Portable EEG Headband,Poland,Warsaw,Emotional wellbeing,Electroencephalography (EEG),NA,NA,NA
Helbich 2018,More green space is related to less antidepressant prescription rates in the Netherlands: A Bayesian geoadditive quantile regression approach,Netherlands,NA,Psychotic disorders (include schizophrenia),antidepressant prescription rates,NA,NA,NA
Xiang 2022,"Verification of Psychophysiological Effects of Satoyama Activities on Older Adult Volunteers and Young People in Post-COVID-19 Society: A Case Study of Matsudo City, Japan",Japan,Matsudo,"Anxiety; Depression; Mood; Other: anger-hostility, vigor-activity",POMS; STAI,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Song 2013,Physiological and psychological effects of walking on young males in urban parks in winter,Japan,Chiba,"Anxiety; Depression; Mood; Other: anger-hostility, vigor, fatigue, confusion",POMS; STAI,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Reeves 2019,The Application of Wearable Technology to Quantify Health and Wellbeing Co-benefits From Urban Wetlands,UK,London,Anxiety; Depression; Mood; Stress,PANAS (Positive and Negative Affect Schedule),Bluespace - Wetland,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Kang 2022,Use of Urban Residential Community Parks for Stress Management During the COVID-19 Lockdown Period in China,China,m,Stress,VAS,NA,NA,NA
Garrett 2019,Coastal proximity and mental health among urban adults in England: The moderating effect of household income,UK,m,Mental disorder; Anxiety; Depression,GHQ-12; EQ5D,Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal); Bluespace - Beach/coastline,Other: Percentage of greenspace; Percentage of bluespace,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility
Henson 2020,Impact of dynamic greenspace exposure on symptomatology in individuals with schizophrenia,United States,Boston,Anxiety; Depression; Psychotic disorders (include schizophrenia),EMA,NA,NA,NA
Cruz 2022,Association of environmental and socioeconomic indicators with serious mental illness diagnoses identified from general practitioner practice data in England: A spatial Bayesian modelling study,UK,m,Mental disorder,Diagnosis by professionals,NA,NA,NA
Olszewska-Guizzo 2021,Hemodynamic Response to Three Types of Urban Spaces before and after Lockdown during the COVID-19 Pandemic,NA,NA,NA,NA,NA,NA,NA
Dzhambov 2014,"Elderly visitors of an urban park, health anxiety and individual awareness of nature experiences",Bulgaria,Plovdiv,Anxiety,SHAI-14,NA,NA,NA
Balseviciene 2013,"Do Green Spaces Matter? The Associations Between Parenting Stress, Child Mental Health Problems And Green Spaces",Lithuania,Kaunas city,Stress,S-PSI/SF; SDQ,NA,NA,NA
Wang 2022,"Neighbourhood greenspace quantity, quality and socioeconomic inequalities in mental health",China,Guangzhou,Anxiety; Depression,SCL-90,Greenspace - General* (not specified),NA,NA
Bloemsma 2022,"Green space, air pollution, traffic noise and mental wellbeing throughout adolescence: Findings from the PIAMA study",Netherlands,NA,Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),NA,NA,NA
Houlden 2017,A cross-sectional analysis of green space prevalence and mental wellbeing in England,UK,m,Mental wellbeing in general*,"WEMWBS 7-item (Shortened-WEMWBS, or SWEMWBS)",Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Sen 2021,Urban green space in India: Perception of cultural ecosystem services and psychology of situatedness and connectedness,India,"South Bengal, India",Stress,Questionnaire,NA,NA,NA
Browning 2019,Tree cover shows an inverse relationship with depressive symptoms in elderly residents living in US nursing homes,United States,m,Depression,percentage of long-term stay residents with depressive symptoms,NA,NA,NA
Engemann 2021,A life course approach to understanding associations between natural environments and mental well-being for the Danish blood donor cohort,Denmark,m,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),Greenspace - General* (not specified); Bluespace - General* (not specified),Other: Normalized Difference Vegetation Index (NDVI); Percentage of bluespace,L1 - neighborhood/residential exposure
Ruijsbroek 2017,Does the Health Impact of Exposure to Neighbourhood Green Space Differ between Population Groups? An Explorative Study in Four European Cities,Spain; Lithuania; The Netherlands; UK,Barcelona; Kaunas; Doetinchem; Stoke-on-Trent,Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),NA,NA,NA
Oh 2021,Health and Wellbeing Benefits from Nature Experiences in Tropical Settings Depend on Strength of Connection to Nature,Singapore,NA,Anxiety; Depression; Stress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
Volker 2018,Do perceived walking distance to and use of urban blue spaces affect self-reported physical and mental health?,Germany,Bielefeld; Gelsenkirchen,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),Bluespace - Open water (river/lake/canal),NA (or not specified),Other: L2 - subjective accessibility; L4 - visit frequency
Robinson 2021,Nature's Role in Supporting Health during the COVID-19 Pandemic: A Geospatial and Socioecological Study,UK,m,Mental wellbeing in general*; Stress,WEMWBS; PSS,Greenspace - General* (not specified),Other: NDVI; Percentage of greenspace,L1 - neighborhood/residential exposure
Cottagiri 2022,Increased urban greenness associated with improved mental health among middle-aged and older adults of the Canadian Longitudinal Study on Aging (CLSA),Canada,NA,Depression,CES-D10 (Center for Epidemiologic Studies Depression Scale - 10),NA,NA,NA
Bijnens 2022,Higher surrounding green space is associated with better attention in Flemish adolescents,Belgium,Flanders,Cognitive functioning; Other: Behavioural development,Stroop test; Continuous Performance; Digit Span; Digit-Symbol; Pattern Comparison; SDQ,NA,NA,NA
Piccininni 2018,Outdoor play and nature connectedness as potential correlates of internalized mental health symptoms among Canadian adolescents,Canada,NA,Mental wellbeing in general*,HBSC,NA,NA,NA
McEachan 2018,"Availability, use of, and satisfaction with green space, and children's mental wellbeing at age 4 years in a multicultural, deprived, urban area: results from the Born in Bradford cohort study",UK,Bradford,Mental wellbeing in general*,SDQ,NA,NDVI (Normalized Difference Vegetation Index),NA
Vujcic 2018,"Urban forest benefits to the younger population: The case study of the city of Belgrade, Serbia",Serbia,Belgrade,Anxiety; Depression; Stress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
White 2021,Associations between green/blue spaces and mental health across 18 countries,"Bulgaria, Czech Republic, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Netherlands, Portugal, Spain, Sweden, United Kingdom, USA, Canada, China, Australia",m,Mental wellbeing in general*; Mental distress; Anxiety; Depression,WHO-5;  doctor-prescribed medication,Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal); Bluespace - Beach/coastline,Other: Percentage of greenspace; presence of water; visit frequency,Other: L1 - neighborhood/residential exposure; L4 - visit frequency
Barreto 2019,Is living near green areas beneficial to mental health? Results of the Pro-Saude Study,Brazil,Rio de Janeiro,Mental disorder,GHQ-12,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Tsai 2018,Relationships between Characteristics of Urban Green Land Cover and Mental Health in US Metropolitan Areas,United States,m,Mental wellbeing in general*,FMD,NA,NA,NA
Bu 2022,"Urban greenspace and anxiety symptoms during the COVID-19 pandemic: A 20-month follow up of 19,848 participants in England",UK,m,Anxiety,GAD-7 (Generalized Anxiety Disorder 7-item),NA,NA,NA
Poortinga 2021,The role of perceived public and private green space in subjective health and wellbeing during and after the first peak of the COVID-19 outbreak,UK,m,Other: subjective wellbeing,SF-36 (Short From Health Survey 36-item),NA,NA,NA
Lee 2022,"How are happy and unhappy people differently affected by their local environments? The heterogeneous relationship between happiness and local environments in Seoul, Korea",South Korea,Seoul,Happiness,Official/National mental health survey,NA,NA,NA
Jato-Espino 2022,Spatial statistical analysis of the relationship between self-reported mental health during the COVID-19 lockdown and closeness to green infrastructure,Spain,La Palma (Canary Islands) and Zaragoza (Peninsular Spain),Emotional wellbeing; Other: life condition,IDEZAr,NA,NA,NA
Nutsford 2016,Residential exposure to visible blue space (but not green space) associated with lower psychological distress in a capital city,New Zealand,Wellington,Mental distress,K10 (Kessler Psychological Distress Scale - 10),NA,NA,NA
Wu 2022,An Empirical Study of the Restoration Potential of Urban Deciduous Forest Space to Youth,China,Chengdu,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Self-esteem; Other: anger-hostility, vitality, fatigue, confusion",POMS; ROS,Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Cheng 2020,Are people happier with larger green space? A study of greenness and happiness in urban China,China,m,Happiness,CFPS question,Other: urban green areas,Other: per capita greeness,L1 - neighborhood/residential exposure
Richardson 2017,"The role of public and private natural space in children's social, emotional and behavioural development in Scotland: A longitudinal study",Scotland,m,"Other: Hyperactivity Problems, Emotional Problems",SDQ,Greenspace - General* (not specified),NA,NA
Honold 2012,Multiple environmental burdens and neighborhood-related health of city residents,Germany,Berlin,Life satisfaction; Other: Psychological symptoms,SLS; BSI,NA,NA,NA
Toselli 2022,"The Effects of Park Based Interventions on Health: The Italian Project ""Moving Parks""",Italy,Bologna,Mental wellbeing in general*,PGWB-S,NA,NA,NA
Kondo 2020,Momentary mood response to natural outdoor environments in four European cities,Spain; UK; Netherlands; Lithuania,Barcelona (Spain); Stoke-on-Trent (United Kingdom); Doetinchem (The Netherlands); Kaunas (Lithuania),Mood; Restorative effects/Restorativeness; Other: fatigue,ROS (Restoration Outcome Scale),Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Liu 2019,"Exploring the linkage between greenness exposure and depression among Chinese people: Mediating roles of physical activity, stress and social cohesion and moderating role of urbanicity",China,m,Depression,CES-D20 (Center for Epidemiologic Studies Depression Scale - 20),Greenspace - General* (not specified),Percentage of greenspace,NA
Orstad 2020,Park Proximity and Use for Physical Activity among Urban Residents: Associations with Mental Health,United States,New York City,Mental distress,Diagnosis by professionals,NA,NA,NA
Qiu 2019,"Exploring the Linkage between the Neighborhood Environment and Mental Health in Guangzhou, China",China,Guangzhou,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Bojorquez 2018,Urban public parks and mental health in adult women: Mediating and moderating factors,Mexico,Tijuana,Depression,CES-D10 (Center for Epidemiologic Studies Depression Scale - 10),NA,NA,NA
Franklin 2020,Association of the Built Environment With Childhood Psychosocial Stress,United States,southern California,Stress,PSS (Perceived Stress Scale),Greenspace - General* (not specified),"Other: Normalized Difference Vegetation Index (NDVI);
Enhanced Vegetation Index (EVI)",L1 - neighborhood/residential exposure
Ewert 2018,Levels of Nature and Stress Response,United States,not sure,Stress,,NA,NA,NA
Chang 2021,The human posterior cingulate and the stress-response benefits of viewing green urban landscapes,China,Hong Kong,Stress,Visual Analogue Scale (VAS),NA,NA,NA
Yang 2020,"Neighbourhood green space, perceived stress and sleep quality in an urban population",China,Hongkong,Stress,PRS,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Chang 2020,The Impact of the Environment on the Quality of Life and the Mediating Effects of Sleep and Stress,China,Hong Kong,Quality of life,WHOQOL-BREF,NA,NA,NA
Su 2019,Associations of green space metrics with health and behavior outcomes at different buffer sizes and remote sensing sensor resolutions,Spain,Barcelona,Mental distress,GHQ-12,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Wang 2019,Urban greenery and mental wellbeing in adults: Cross-sectional mediation analyses on multiple pathways across different greenery measures,China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified),Other: Street View Greenness; NDVI,L1 - neighborhood/residential exposure
Miles 2012,"Neighborhood Urban Form, Social Environment, and Depression",United States,"Miami, Florida",Depression,CES-D20 (Center for Epidemiologic Studies Depression Scale - 20),NA,NA,NA
Hunter 2021,"Investigating the physical activity, health, wellbeing, social and environmental effects of a new urban greenway: a natural experiment (the PARC study)",UK,Belfast,Mental wellbeing in general*,WEMWBS (Warwick-Edinburgh Mental Wellbeing Scale),Greenspace - Green alley/Roadside green,Other: distance,L2 - objective accessibility
Elsadek 2020,Window view and relaxation: Viewing green space from a high-rise estate improves urban dwellers' wellbeing,China,Shanghai,Emotional wellbeing; Mood,POMS; SD,Greenspace - Park,NA (or not specified),L3 - view of nature from window
Preuss 2019,Low Childhood Nature Exposure is Associated with Worse Mental Health in Adulthood,Spain; the Netherlands; Lithuania; UK,Barcelona; Doetinchem; Kaunas; Stoke-on-Trent,Mental wellbeing in general*,NA,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Guo 2021,"Objective and perceived built environment, sense of community, and mental wellbeing in older adults in Hong Kong: A multilevel structural equation study",China,Hong Kong,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),Greenspace - Park; Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Wortzel 2021,Association Between Urban Greenspace and Mental Wellbeing During the COVID-19 Pandemic in a US Cohort,United States,NA,"Anxiety; Depression; Other: worry, mental health",COVID-19-Related Worries; GAD-7; PHQ-2; CMHS,NA,NA,NA
Chalmin-Pui 2021,"""It made me feel brighter in myself""- The health and well-being impacts of a residential front garden horticultural intervention",UK,Salford,Stress; Other: subjective well-being,PSS; SWEMWB,Greenspace - Garden,NA (or not specified),L5 - gardening (yes/no)
Lai 2020,"Are greenspace attributes associated with perceived restorativeness? A comparative study of urban cemeteries and parks in Edinburgh, Scotland",UK,Edinburgh,Other: restorativeness,RS,NA,NA,NA
Moreira 2022,Assessing the impact of urban environment and green infrastructure on mental health: results from the Sao Paulo Megacity Mental Health Survey,Brazil,São Paulo,Anxiety; Depression,World Mental Health Survey,NA,NA,NA
VanHerzele 2012,"Linking green space to health: a comparative study of two urban neighbourhoods in Ghent, Belgium",Belgium,Ghent,Mental wellbeing in general*; Happiness,Belgian Health  Interview  Survey,NA,NA,NA
He 2022,"Urban greenery mitigates the negative effect of urban density on older adults' life satisfaction: Evidence from Shanghai, China",China,Shanghai,Life satisfaction,SWLS,NA,NA,NA
Dimitrov-Discher 2022,Residential green space and air pollution are associated with brain activation in a social-stress paradigm,Germany,Berlin,Stress,fMRI,NA,NA,NA
Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Scotland; Wales; Northern Ireland; England,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",GHQ; RSES; POMS,Greenspace - General* (not specified); Bluespace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Lu 2021,Neighborhood Built Environment and Late-Life Depression: A Multilevel Path Analysis in a Chinese Society,China,Hong Kong,Depression,GDS,NA,NA,NA
Feda 2015,"Neighbourhood parks and reduction in stress among adolescents: Results from Buffalo, New York",United States,"Erie County, NY",Stress,PSS (Perceived Stress Scale),Greenspace - Park,Percentage of greenspace,L1 - neighborhood/residential exposure
Jarvis 2020,Different types of urban natural environments influence various dimensions of self-reported health,Canada,Metro Vancouver,Mental wellbeing in general*; Psychotic disorders (include schizophrenia),CCHS,NA,NA,NA
Thygesen 2020,The Association between Residential Green Space in Childhood and Development of Attention Deficit Hyperactivity Disorder: A Population-Based Cohort Study,Denmark,NA,Psychotic disorders (include schizophrenia),Diagnosis by professionals,NA,NA,NA
Gonzales-Inca 2022,Residential greenness and risks of depression: Longitudinal associations with different greenness indicators and spatial scales in a Finnish population cohort,Finland,m,Depression,BDI; diagnosed,NA,NA,NA
Allard-Poesi 2022,Not all types of nature have an equal effect on urban residents' well-being: A structural equation model approach,France,m,Mental wellbeing in general*,WHOQOL-26,NA,NA,NA
Rakhshani 2019,Relationship of Design and Architectural Factors of Nursing Homes With the Mental Health of Their Residents,Iran,Shahriyar; Qods,Anxiety; Depression; Other: Mental health,GHQ-28,Greenspace - General* (not specified),Percentage of greenspace,NA
Chalmin-Pui 2021,Why garden? - Attitudes and the perceived health benefits of home gardening,UK,m,Mental wellbeing in general*; Stress,WEMWBS 7-item; PSS,Greenspace - Garden,NA (or not specified),L5 - gardening frequency
Garrett 2019,Urban blue space and health and wellbeing in Hong Kong: Results from a survey of older adults,China,Hongkong,Other: Subjective wellbeing,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified); Bluespace - General* (not specified),NA (or not specified),Other: L3 - view of nature from window; L4 - visit frequency
Zhang 2021,Assessing individual environmental exposure derived from the spatiotemporal behavior context and its impacts on mental health,China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified); Bluespace - General* (not specified),Other: Percentage of greenspace; Percentage of bluespace,Other: L1 - neighborhood/residential exposure; L1 - exposure of activities and travel routes
McDougall 2022,"Blue space exposure, health and well-being: Does freshwater type matter?",UK,Scotland,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal); Bluespace - Sea,NA (or not specified),"Other: L4 - visit frequency; L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Kruize 2020,Exploring mechanisms underlying the relationship between the natural outdoor environment and health and well-being - Results from the PHENOTYPE project,"Spain, UK, Netherlands, Lithuania","Barcelona (Spain), Stoke-on-Trent (United Kingdom), Doetinchem (the Netherlands), and Kaunas (Lithuania)",Mental wellbeing in general*,MHI-5 (Mental Health Inventory 5-item),Greenspace - General* (not specified),Other: NDVI; amount of NOE,L1 - neighborhood/residential exposure
White 2013,"Coastal proximity, health and well-being: Results from a longitudinal panel survey",UK,m,Mental distress; Life satisfaction,GHQ-12; Global Life Satisfaction question,Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal); Bluespace - Beach/coastline,Other: Percentage of greenspace; Percentage of bluespace,L1 - neighborhood/residential exposure
Andrusaityte 2020,The effect of residential greenness and city park visiting habits on preschool Children's mental and general health in Lithuania: A cross-sectional study,Lithuania,Kaunas city,Mental wellbeing in general*,SDQ,NA,NA,NA
Zijlema 2018,Active commuting through natural environments is associated with better mental health: Results from the PHENOTYPE project,Spain; the Netherlands; Lithuania; the United Kingdom,Barcelona; Doetinchem; Kaunas; Stoke-on-Trent,Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),Greenspace - General* (not specified),Other: question,L4 - visit frequency
Thompson 2012,More green space is linked to less stress in deprived communities: Evidence from salivary cortisol patterns,UK,Dundee,Mental wellbeing in general*; Stress,PSS; SWEMWBS,Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Subiza-Perez 2021,Does the perceived neighborhood environment promote mental health during pregnancy? Confirmation of a pathway through social cohesion in two Spanish samples,Spain,Barcelona; Donostia-San Sebastian,Mental wellbeing in general*,GHQ-12,NA,NA (or not specified),NA
Abdullah 2022,Age- and Sex-Specific Association Between Vegetation Cover and Mental Health Disorders: Bayesian Spatial Study,Canada,Toronto,Psychotic disorders (include schizophrenia),Mental health disorder data,NA,NA,NA
Yuchi 2022,Neighborhood environmental exposures and incidence of attention deficit/ hyperactivity disorder: A population-based cohort study,Canada,Vancouver,Other: ADHD,Diagnosis by professionals,NA,NA,NA
Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",POMS; ROS; SVS; WEMWBS,Greenspace - Forest/Tree,NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Koay 2020,"Community Gardening: Stress, Well-Being, and Resilience Potentials",Singapore,m,Self-esteem; Stress,PSS; RSE,Greenspace - Garden,NA (or not specified),L5 - gardening frequency
Liu 2021,"Natural outdoor environments and subjective well-being in Guangzhou, China: Comparing different measures of access",China,Guangzhou,Affect; Life satisfaction,SWLS; PANAS,Greenspace - General* (not specified); Bluespace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Flowers 2022,People with the least positive attitudes to green exercise derive most anxiolytic benefit from walking in green space,Australia,"Melbourne, Victoria",Anxiety,STAI (State-Trait Anxiety Inventory – 40 items),Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Watson 2020,The association between natural outdoor environments and common somatic symptoms,"Spain, Netherlands, Lithuania, United Kingdom","Barcelona, Doetinchem, Kaunas, Stoke-on-Trent",Mental distress,4DSQ,NA,NA,NA
Maund 2019,Wetlands for Wellbeing: Piloting a Nature-Based Health Intervention for the Management of Anxiety and Depression,UK,Gloucestershire,Mental wellbeing in general*; Affect; Anxiety; Stress,WEMWBS; PSS; GAD; PANAS,Bluespace - Wetland,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
NA,"Urban park accessibility and the mental health of older adults: a case study of Haidian District, Beijing",China,Beijing,Anxiety; Depression,GDS-15; GAI,NA,NA,NA
Rezaei 2021,Evaluating the Mental-Health Positive Impacts of Agritourism; A Case Study from South Korea,South Korea,Seoul,Mental wellbeing in general*; Mood; Stress,PSQ;WHO-5;PES,Greenspace - Farmland,NA,NA
Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",ROS; PRS; PANAS; SVS; CS,Greenspace - Forest/Tree; Greenspace - Park,NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Helbich 2021,Can't see the wood for the trees? An assessment of street view- and satellite-derived greenness measures in relation to mental health,Netherlands,Amsterdam,Anxiety; Depression,PHQ-9; GAD-7,NA,NA,NA
Marselle 2013,Walking for Well-Being: Are Group Walks in Certain Types of Natural Environments Better for Well-Being than Group Walks in Urban Environments?,UK,m,Mental wellbeing in general*; Affect; Depression; Stress,WEMWBS; MDI; PSS; PANAS,Greenspace - Farmland; Greenspace - Park; Greenspace - Green alley/Roadside green; Greenspace - General* (not specified); Bluespace - Beach/coastline,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Nghiem 2021,"Biodiverse urban forests, happy people: Experimental evidence linking perceived biodiversity, restoration, and emotional wellbeing",Singapore,Queenstown,Mental wellbeing in general*; Affect; Restorative effects/Restorativeness,PANAS; PRS,Greenspace - Park,NA (or not specified),Other: L4 - physical activity in nature; L4 - duration in nature;
Knight 2022,The importance of ecological quality of public green and blue spaces for subjective well-being,UK,London,Mental wellbeing in general*; Life satisfaction,GHQ-12; Official/National mental health survey,Greenspace - General* (not specified),NA (or not specified),L2 - objective accessibility
Zhang 2019,Objectively-Measured Neighbourhood Attributes as Correlates and Moderators of Quality of Life in Older Adults with Different Living Arrangements: The ALECS Cross-Sectional Study,China,Hong Kong,Quality of life,WHOQOL-BREF,NA,NA,NA
Wang 2020,The effects of urban park on residents' health: an empirical study based on Tangxi River Park in Hefei,China,Hefei,Mental wellbeing in general*,SF-12 (Short From Health Survey 12-item),Greenspace - Park,NA (or not specified),Other: L1 - neighborhood/residential exposure; L4 - duration in nature
Soga 2021,A room with a green view: the importance of nearby nature for mental health during the COVID-19 pandemic,Japan,Tokyo,Mental disorder; Depression; Happiness; Life satisfaction; Self-esteem; Other: Loneliness,RSES; Life Satisfaction Index A; Subjective Happiness Scale;  UCLA Loneliness Scale; GHQ-12,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),Other: L1 - neighborhood/residential exposure; L3 - view of nature from window; L4 - visit frequency; L4 - stay static in nature
Zayas-Costa 2021,Mental Health Outcomes in Barcelona: The Interplay between Gentrification and Greenspace,Spain,Barcelona,Mental wellbeing in general*; Anxiety; Depression,GHQ-12; Official/National mental health survey,Greenspace - Park; Greenspace - Green alley/Roadside green; Greenspace - General* (not specified),Percentage of greenspace,L1 - neighborhood/residential exposure
Reklaitiene 2014,"The relationship of green space, depressive symptoms and perceived general health in urban population",Lithuania,Kaunas,Depression,CES-D10 (Center for Epidemiologic Studies Depression Scale - 10),NA,NA,NA
White 2013,Feelings of restoration from recent nature visits,UK,m,Restorative effects/Restorativeness,Official/National mental health survey,Greenspace - General* (not specified),NA,NA
Dean 2018,Is Nature Relatedness Associated with Better Mental and Physical Health?,Australia,Brisbane,Anxiety; Depression; Stress,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
Boll 2020,Prenatal greenspace exposure and cord blood cortisol levels: A cross-sectional study in a middle-income country,Iran,Sabzevar,Stress,cord blood cortisol levels,NA,NA,NA
Beil 2013,The Influence of Urban Natural and Built Environments on Physiological and Psychological Measures of Stress-A Pilot Study,United States,"Portland, Oregon",Stress,SSS; PSS; PRS,NA,NA,NA
Li 2021,"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China",China,Chengdu,Emotional wellbeing; Mood; Restorative effects/Restorativeness,PANAS; POMS; PRS; ROS,Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Sturm 2014,Proximity to Urban Parks and Mental Health,United States,Los Angeles,Mental distress,MHI-5 (Mental Health Inventory 5-item),Greenspace - Park,Other: distance,L2 - objective accessibility
Shanahan 2016,Health Benefits from Nature Experiences Depend on Dose,Australia,Brisbane City,"Depression; Other: high blood pressure, social cohesion",Official/National mental health survey,NA,NA,NA
